gene_id,log2foldchange,pvalue,padjust,gene_chr
AGAP005065,-0.200226404902746,0.248550781328744,0.500688679141839,AgamP4_2L
AGAP008238,-1.04573563436344,0.248666762186897,0.500731401049083,AgamP4_3R
AGAP004035,-0.6410967963437,0.248691009520538,0.500731401049083,AgamP4_2R
AGAP006600,0.275487805615904,0.248744478522527,0.500731401049083,AgamP4_2L
AGAP009224,-0.147577681108225,0.248825892791647,0.500731401049083,AgamP4_3R
AGAP003818,-0.137391114291898,0.248831947401195,0.500731401049083,AgamP4_2R
AGAP002383,-0.143788400865961,0.248892832331119,0.500749293541051,AgamP4_2R
AGAP010831,-2.92980164741407,0.249071115540265,1,AgamP4_3L
AGAP008898,0.128183711561076,0.249083672186952,0.501028581209802,AgamP4_3R
AGAP007308,0.202590938145336,0.249177652197886,0.501032558746385,AgamP4_2L
AGAP004991,0.186070136878525,0.24918969539977,0.501032558746385,AgamP4_2L
AGAP009193,0.204236885553553,0.249251115705813,0.501051449668688,AgamP4_3R
AGAP011767,0.120633152768227,0.249341116203017,0.501127773403853,AgamP4_3L
AGAP002997,-0.254923128065713,0.249475660799187,0.501293571699765,AgamP4_2R
AGAP003346,0.154981692723515,0.249691393855209,0.501561875783892,AgamP4_2R
AGAP029634,0.306059105427472,0.249713341748911,0.501561875783892,AgamP4_2L
AGAP004892,-0.11700864097977,0.250013950615358,0.501723879646549,AgamP4_2L
AGAP009586,0.78084370626792,0.250091986887627,0.501723879646549,AgamP4_3R
AGAP010012,-0.300858510947943,0.250113003115509,0.501723879646549,AgamP4_3R
AGAP005498,0.335960483122556,0.250121226680985,0.501723879646549,AgamP4_2L
AGAP008753,0.240829518280234,0.250154500536096,0.501723879646549,AgamP4_3R
AGAP028145,0.62933643907771,0.250167672971112,0.501723879646549,AgamP4_3R
AGAP011219,-1.30247294394003,0.250183631501543,0.501723879646549,AgamP4_3L
AGAP006607,-0.085051872209945,0.250264169247074,0.501723879646549,AgamP4_2L
AGAP002525,0.125959683938325,0.250322932798806,0.501723879646549,AgamP4_2R
AGAP006162,0.272849986872013,0.250338458113892,0.501723879646549,AgamP4_2L
AGAP028436,-0.63407298855175,0.250367040346933,0.501723879646549,AgamP4_2L
AGAP002867,-0.589302879685048,0.250521860335933,0.501911008226994,AgamP4_2R
AGAP009260,-0.372279443604248,0.250611458606337,0.501911008226994,AgamP4_3R
AGAP029078,0.170419713344714,0.250651061280668,0.501911008226994,AgamP4_2L
AGAP005394,0.126655981601557,0.250668876500035,0.501911008226994,AgamP4_2L
AGAP001134,0.237953776819518,0.251048103399397,0.502453203319553,AgamP4_2R
AGAP007876,-1.30272228045463,0.251150931775696,0.502453203319553,AgamP4_3R
AGAP011656,-1.88698408438149,0.251153724768327,0.502453203319553,AgamP4_3L
AGAP000269,0.105419677456795,0.25117872428816,0.502453203319553,AgamP4_X
AGAP007881,-0.223682704115026,0.251200516455575,0.502453203319553,AgamP4_3R
AGAP028599,-0.241224974261435,0.251460739701303,0.502869265793864,AgamP4_3R
AGAP008056,2.76112736672265,0.251669781149685,1,AgamP4_3R
AGAP012144,-0.471572338696253,0.251878652570982,0.503524209362153,AgamP4_3L
AGAP001414,-0.174856754365147,0.251892808712164,0.503524209362153,AgamP4_2R
AGAP002605,0.326847970881608,0.252075789978417,0.503785418817625,AgamP4_2R
AGAP003293,0.264042026709146,0.252151296822878,0.503831771722227,AgamP4_2R
AGAP013005,0.467925174867097,0.25234831374174,0.504104708224398,AgamP4_2R
AGAP006226,0.252637439259579,0.252392576374005,0.504104708224398,AgamP4_2L
AGAP027999,-0.426797790804268,0.25278145720459,0.504776739443792,AgamP4_3L
AGAP003907,-0.3577029471138,0.253147782957962,0.505368906591428,AgamP4_2R
AGAP006164,-0.6116558942787,0.25318294821967,0.505368906591428,AgamP4_2L
AGAP008389,0.115124992834254,0.253422318483828,0.505741887550299,AgamP4_3R
AGAP001676,-0.692611882905364,0.253555092602948,0.50584968620536,AgamP4_2R
AGAP013541,-1.04641989894507,0.253581381476428,0.50584968620536,AgamP4_X
AGAP002623,0.592164617089852,0.253870088726698,0.506320734008455,AgamP4_2R
AGAP010555,1.94291532913496,0.253918082357464,1,AgamP4_3L
AGAP007051,0.327599997571615,0.253955155525027,0.50638552854276,AgamP4_2L
AGAP013296,0.371250204872096,0.254041390653631,0.506452625416087,AgamP4_2R
AGAP008987,1.37250068231877,0.254499903602213,0.507177945404599,AgamP4_3R
AGAP012142,0.245620747028593,0.254572964421247,0.507177945404599,AgamP4_3L
AGAP010616,0.423576685602295,0.254607560728499,0.507177945404599,AgamP4_3L
AGAP009068,-0.182626135847835,0.25463314073647,0.507177945404599,AgamP4_3R
AGAP005806,1.19066440699683,0.254668522892393,0.507177945404599,AgamP4_2L
AGAP000507,-0.678837472191053,0.254795642166837,0.507272982476611,AgamP4_X
AGAP007530,-0.299129838621788,0.254821585424343,0.507272982476611,AgamP4_2L
AGAP009995,0.933677628052594,0.254899466582898,0.507323158226883,AgamP4_3R
AGAP003718,-0.826893598486883,0.255008102860272,0.507383244233718,AgamP4_2R
